"yearDraft","numberPickOverall","numberRound","numberRoundPick","namePlayer","slugTeam","nameOrganizationFrom","typeOrganizationFrom","idPlayer","idTeam","nameTeam","cityTeam","teamName","PLAYER_PROFILE_FLAG","slugOrganizationTypeFrom","locationOrganizationFrom"
"2020.0","1.0","1.0","1.0","Anthony Edwards","MIN","Georgia","College/University","1630162.0","1610612750.0","Minnesota Timberwolves","Minnesota","Timberwolves","1.0","COL",""
"2020.0","2.0","1.0","2.0","James Wiseman","GSW","Memphis","College/University","1630164.0","1610612744.0","Golden State Warriors","Golden State","Warriors","1.0","COL",""
"2020.0","3.0","1.0","3.0","LaMelo Ball","CHA","Illawarra","Other Team/Club","1630163.0","1610612766.0","Charlotte Hornets","Charlotte","Hornets","1.0","PRO","Australia"
"2020.0","4.0","1.0","4.0","Patrick Williams","CHI","Florida State","College/University","1630172.0","1610612741.0","Chicago Bulls","Chicago","Bulls","1.0","COL",""
"2020.0","5.0","1.0","5.0","Isaac Okoro","CLE","Auburn","College/University","1630171.0","1610612739.0","Cleveland Cavaliers","Cleveland","Cavaliers","1.0","COL",""
"2020.0","6.0","1.0","6.0","Onyeka Okongwu","ATL","Southern California","College/University","1630168.0","1610612737.0","Atlanta Hawks","Atlanta","Hawks","1.0","COL",""
"2020.0","7.0","1.0","7.0","Killian Hayes","DET","Ratiopharm Ulm","Other Team/Club","1630165.0","1610612765.0","Detroit Pistons","Detroit","Pistons","1.0","PRO","Germany"
"2020.0","8.0","1.0","8.0","Obi Toppin","NYK","Dayton","College/University","1630167.0","1610612752.0","New York Knicks","New York","Knicks","1.0","COL",""
"2020.0","9.0","1.0","9.0","Deni Avdija","WAS","Maccabi Tel Aviv B.C.","Other Team/Club","1630166.0","1610612764.0","Washington Wizards","Washington","Wizards","1.0","PRO","Israel"
"2020.0","10.0","1.0","10.0","Jalen Smith","PHX","Maryland","College/University","1630188.0","1610612756.0","Phoenix Suns","Phoenix","Suns","1.0","COL",""
"2020.0","11.0","1.0","11.0","Devin Vassell","SAS","Florida State","College/University","1630170.0","1610612759.0","San Antonio Spurs","San Antonio","Spurs","1.0","COL",""
"2020.0","12.0","1.0","12.0","Tyrese Haliburton","SAC","Iowa State","College/University","1630169.0","1610612758.0","Sacramento Kings","Sacramento","Kings","1.0","COL",""
"2020.0","13.0","1.0","13.0","Kira Lewis Jr.","NOP","Alabama","College/University","1630184.0","1610612740.0","New Orleans Pelicans","New Orleans","Pelicans","1.0","COL",""
"2020.0","14.0","1.0","14.0","Aaron Nesmith","BOS","Vanderbilt","College/University","1630174.0","1610612738.0","Boston Celtics","Boston","Celtics","1.0","COL",""
"2020.0","15.0","1.0","15.0","Cole Anthony","ORL","North Carolina","College/University","1630175.0","1610612753.0","Orlando Magic","Orlando","Magic","1.0","COL",""
"2020.0","16.0","1.0","16.0","Isaiah Stewart","POR","Washington","College/University","1630191.0","1610612757.0","Portland Trail Blazers","Portland","Trail Blazers","1.0","COL",""
"2020.0","17.0","1.0","17.0","Aleksej Pokusevski","MIN","Olympiacos B.C.","Other Team/Club","1630197.0","1610612750.0","Minnesota Timberwolves","Minnesota","Timberwolves","1.0","PRO","Greece"
"2020.0","18.0","1.0","18.0","Josh Green","DAL","Arizona","College/University","1630182.0","1610612742.0","Dallas Mavericks","Dallas","Mavericks","1.0","COL",""
"2020.0","19.0","1.0","19.0","Saddiq Bey","BKN","Villanova","College/University","1630180.0","1610612751.0","Brooklyn Nets","Brooklyn","Nets","1.0","COL",""
"2020.0","20.0","1.0","20.0","Precious Achiuwa","MIA","Memphis","College/University","1630173.0","1610612748.0","Miami Heat","Miami","Heat","1.0","COL",""
"2020.0","21.0","1.0","21.0","Tyrese Maxey","PHI","Kentucky","College/University","1630178.0","1610612755.0","Philadelphia 76ers","Philadelphia","76ers","1.0","COL",""
"2020.0","22.0","1.0","22.0","Zeke Nnaji","DEN","Arizona","College/University","1630192.0","1610612743.0","Denver Nuggets","Denver","Nuggets","1.0","COL",""
"2020.0","23.0","1.0","23.0","Leandro Bolmaro","NYK","FC Barcelona Basquet","Other Team/Club","1630195.0","1610612752.0","New York Knicks","New York","Knicks","0.0","PRO","Spain"
"2020.0","24.0","1.0","24.0","R.J. Hampton","MIL","Breakers","Other Team/Club","1630181.0","1610612749.0","Milwaukee Bucks","Milwaukee","Bucks","1.0","PRO","New Zealand"
"2020.0","25.0","1.0","25.0","Immanuel Quickley","OKC","Kentucky","College/University","1630193.0","1610612760.0","Oklahoma City Thunder","Oklahoma City","Thunder","1.0","COL",""
"2020.0","26.0","1.0","26.0","Payton Pritchard","BOS","Oregon","College/University","1630202.0","1610612738.0","Boston Celtics","Boston","Celtics","1.0","COL",""
"2020.0","27.0","1.0","27.0","Udoka Azubuike","UTA","Kansas","College/University","1628962.0","1610612762.0","Utah Jazz","Utah","Jazz","1.0","COL",""
"2020.0","28.0","1.0","28.0","Jaden McDaniels","LAL","Washington","College/University","1630183.0","1610612747.0","Los Angeles Lakers","Los Angeles","Lakers","1.0","COL",""
"2020.0","29.0","1.0","29.0","Malachi Flynn","TOR","San Diego State","College/University","1630201.0","1610612761.0","Toronto Raptors","Toronto","Raptors","1.0","COL",""
"2020.0","30.0","1.0","30.0","Desmond Bane","BOS","Texas Christian","College/University","1630217.0","1610612738.0","Boston Celtics","Boston","Celtics","1.0","COL",""
"2020.0","31.0","2.0","1.0","Tyrell Terry","DAL","Stanford","College/University","1630179.0","1610612742.0","Dallas Mavericks","Dallas","Mavericks","1.0","COL",""
"2020.0","32.0","2.0","2.0","Vernon Carey Jr.","CHA","Duke","College/University","1630176.0","1610612766.0","Charlotte Hornets","Charlotte","Hornets","1.0","COL",""
"2020.0","33.0","2.0","3.0","Daniel Oturu","MIN","Minnesota","College/University","1630187.0","1610612750.0","Minnesota Timberwolves","Minnesota","Timberwolves","1.0","COL",""
"2020.0","34.0","2.0","4.0","Theo Maledon","PHI","ASVEL Basket","Other Team/Club","1630177.0","1610612755.0","Philadelphia 76ers","Philadelphia","76ers","1.0","PRO","France"
"2020.0","35.0","2.0","5.0","Xavier Tillman","SAC","Michigan State","College/University","1630214.0","1610612758.0","Sacramento Kings","Sacramento","Kings","1.0","COL",""
"2020.0","36.0","2.0","6.0","Tyler Bey","PHI","Colorado","College/University","1630189.0","1610612755.0","Philadelphia 76ers","Philadelphia","76ers","1.0","COL",""
"2020.0","37.0","2.0","7.0","Vit Krejci","WAS","Basket Zaragoza 2002","Other Team/Club","1630249.0","1610612764.0","Washington Wizards","Washington","Wizards","0.0","PRO","Spain"
"2020.0","38.0","2.0","8.0","Saben Lee","UTA","Vanderbilt","College/University","1630240.0","1610612762.0","Utah Jazz","Utah","Jazz","1.0","COL",""
"2020.0","39.0","2.0","9.0","Elijah Hughes","NOP","Syracuse","College/University","1630190.0","1610612740.0","New Orleans Pelicans","New Orleans","Pelicans","1.0","COL",""
"2020.0","40.0","2.0","10.0","Robert Woodard II","MEM","Mississippi State","College/University","1630218.0","1610612763.0","Memphis Grizzlies","Memphis","Grizzlies","1.0","COL",""
"2020.0","41.0","2.0","11.0","Tre Jones","SAS","Duke","College/University","1630200.0","1610612759.0","San Antonio Spurs","San Antonio","Spurs","1.0","COL",""
