"GAME_ID","SEASON_ID","TEAM_ID_HOME","TEAM_ABBREVIATION_HOME","TEAM_NAME_HOME","GAME_DATE","MATCHUP_HOME","WL_HOME","MIN_HOME","FGM_HOME","FGA_HOME","FG_PCT_HOME","FG3M_HOME","FG3A_HOME","FG3_PCT_HOME","FTM_HOME","FTA_HOME","FT_PCT_HOME","OREB_HOME","DREB_HOME","REB_HOME","AST_HOME","STL_HOME","BLK_HOME","TOV_HOME","PF_HOME","PTS_HOME","PLUS_MINUS_HOME","VIDEO_AVAILABLE_HOME","TEAM_ID_AWAY","TEAM_ABBREVIATION_AWAY","TEAM_NAME_AWAY","MATCHUP_AWAY","WL_AWAY","MIN_AWAY","FGM_AWAY","FGA_AWAY","FG_PCT_AWAY","FG3M_AWAY","FG3A_AWAY","FG3_PCT_AWAY","FTM_AWAY","FTA_AWAY","FT_PCT_AWAY","OREB_AWAY","DREB_AWAY","REB_AWAY","AST_AWAY","STL_AWAY","BLK_AWAY","TOV_AWAY","PF_AWAY","PTS_AWAY","PLUS_MINUS_AWAY","VIDEO_AVAILABLE_AWAY","GAME_DATE_EST","GAME_SEQUENCE","GAME_STATUS_ID","GAME_STATUS_TEXT","GAMECODE","HOME_TEAM_ID","VISITOR_TEAM_ID","SEASON","LIVE_PERIOD","LIVE_PC_TIME","NATL_TV_BROADCASTER_ABBREVIATION","LIVE_PERIOD_TIME_BCAST","WH_STATUS","TEAM_CITY_HOME","PTS_PAINT_HOME","PTS_2ND_CHANCE_HOME","PTS_FB_HOME","LARGEST_LEAD_HOME","LEAD_CHANGES_HOME","TIMES_TIED_HOME","TEAM_TURNOVERS_HOME","TOTAL_TURNOVERS_HOME","TEAM_REBOUNDS_HOME","PTS_OFF_TO_HOME","TEAM_CITY_AWAY","PTS_PAINT_AWAY","PTS_2ND_CHANCE_AWAY","PTS_FB_AWAY","LARGEST_LEAD_AWAY","LEAD_CHANGES_AWAY","TIMES_TIED_AWAY","TEAM_TURNOVERS_AWAY","TOTAL_TURNOVERS_AWAY","TEAM_REBOUNDS_AWAY","PTS_OFF_TO_AWAY","LEAGUE_ID","GAME_DATE_DAY","ATTENDANCE","GAME_TIME","TEAM_CITY_NAME_HOME","TEAM_NICKNAME_HOME","TEAM_WINS_LOSSES_HOME","PTS_QTR1_HOME","PTS_QTR2_HOME","PTS_QTR3_HOME","PTS_QTR4_HOME","PTS_OT1_HOME","PTS_OT2_HOME","PTS_OT3_HOME","PTS_OT4_HOME","PTS_OT5_HOME","PTS_OT6_HOME","PTS_OT7_HOME","PTS_OT8_HOME","PTS_OT9_HOME","PTS_OT10_HOME","PTS_HOME_y","TEAM_CITY_NAME_AWAY","TEAM_NICKNAME_AWAY","TEAM_WINS_LOSSES_AWAY","PTS_QTR1_AWAY","PTS_QTR2_AWAY","PTS_QTR3_AWAY","PTS_QTR4_AWAY","PTS_OT1_AWAY","PTS_OT2_AWAY","PTS_OT3_AWAY","PTS_OT4_AWAY","PTS_OT5_AWAY","PTS_OT6_AWAY","PTS_OT7_AWAY","PTS_OT8_AWAY","PTS_OT9_AWAY","PTS_OT10_AWAY","LAST_GAME_ID","LAST_GAME_DATE_EST","LAST_GAME_HOME_TEAM_ID","LAST_GAME_HOME_TEAM_CITY","LAST_GAME_HOME_TEAM_NAME","LAST_GAME_HOME_TEAM_ABBREVIATION","LAST_GAME_HOME_TEAM_POINTS","LAST_GAME_VISITOR_TEAM_ID","LAST_GAME_VISITOR_TEAM_CITY","LAST_GAME_VISITOR_TEAM_NAME","LAST_GAME_VISITOR_TEAM_CITY1","LAST_GAME_VISITOR_TEAM_POINTS","HOME_TEAM_WINS","HOME_TEAM_LOSSES","SERIES_LEADER","VIDEO_AVAILABLE_FLAG","PT_AVAILABLE","PT_XYZ_AVAILABLE","HUSTLE_STATUS","HISTORICAL_STATUS"
"0024600001","21946","1610610035","HUS","Toronto Huskies","1946-11-01","HUS vs. NYK","L","0","25.0","","","","","","16.0","29.0","0.552","","","","","","","","","66","-2","0","1610612752","NYK","New York Knicks","NYK @ HUS","W","0","24.0","","","","","","20.0","26.0","0.769","","","","","","","","","68","2","0","1946-11-01T00:00:00","","3","","19461101/NYKHUS","1610610035","1610612752","1946","5.0","","","Q5  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","FRIDAY, NOVEMBER 1, 1946","","","Toronto","Huskies","-","","","","","18","","","","","","","","","","66.0","New York","Knicks","-","","","","","24","","","","","","","","","","","","","","","","","","","","","","3.0","3.0","Tied","0.0","0.0","0.0","0.0","1.0"
"0024600003","21946","1610610034","BOM","St. Louis Bombers","1946-11-02","BOM vs. PIT","W","0","20.0","59.0","0.339","","","","16.0","","","","","","","","","","21.0","56","5","0","1610610031","PIT","Pittsburgh Ironmen","PIT @ BOM","L","0","16.0","72.0","0.222","","","","19.0","","","","","","","","","","25.0","51","-5","0","1946-11-02T00:00:00","","3","","19461102/PITBOM","1610610034","1610610031","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","SATURDAY, NOVEMBER 2, 1946","","","St. Louis","Bombers","-","16","16","18","6","","","","","","","","","","","56.0","Pittsburgh","Ironmen","-","5","15","17","14","","","","","","","","","","","","","","","","","","","","","","","5.0","1.0","St. Louis","0.0","0.0","0.0","0.0","1.0"
"0024600004","21946","1610610025","CHS","Chicago Stags","1946-11-02","CHS vs. NYK","W","0","21.0","","","","","","21.0","","","","","","","","","","20.0","63","16","0","1610612752","NYK","New York Knicks","NYK @ CHS","L","0","16.0","","","","","","15.0","","","","","","","","","","22.0","47","-16","0","1946-11-02T00:00:00","","3","","19461102/NYKCHS","1610610025","1610612752","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","SATURDAY, NOVEMBER 2, 1946","","","Chicago","Stags","-","","","","","","","","","","","","","","","63.0","New York","Knicks","-","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","3.0","Tied","0.0","0.0","0.0","0.0","1.0"
"0024600002","21946","1610610032","PRO","Providence Steamrollers","1946-11-02","PRO vs. BOS","W","0","21.0","","","","","","17.0","","","","","","","","","","","59","6","0","1610612738","BOS","Boston Celtics","BOS @ PRO","L","0","21.0","","","","","","11.0","","","","","","","","","","","53","-6","0","1946-11-02T00:00:00","","3","","19461102/BOSPRO","1610610032","1610612738","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","SATURDAY, NOVEMBER 2, 1946","","","Providence","Steamrollers","-","","12","18","15","","","","","","","","","","","59.0","Boston","Celtics","-","10.0","16","14","13","","","","","","","","","","","","","","","","","","","","","","","5.0","1.0","Providence","0.0","0.0","0.0","0.0","1.0"
"0024600005","21946","1610610028","DEF","Detroit Falcons","1946-11-02","DEF vs. WAS","L","0","10.0","","","","","","13.0","","","","","","","","","","","33","-17","0","1610610036","WAS","Washington Capitols","WAS @ DEF","W","0","18.0","","","","","","14.0","","","","","","","","","","","50","17","0","1946-11-02T00:00:00","","3","","19461102/WASDEF","1610610028","1610610036","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","SATURDAY, NOVEMBER 2, 1946","","","Detroit","Falcons","-","9","10","10","4","","","","","","","","","","","33.0","Washington","Capitols","-","21","4","12","13","","","","","","","","","","","","","","","","","","","","","","","1.0","5.0","Washington","0.0","0.0","0.0","0.0","1.0"
"0024600006","21946","1610610026","CLR","Cleveland Rebels","1946-11-03","CLR vs. HUS","W","0","24.0","","","","","","23.0","","","","","","","","","","","71","11","0","1610610035","HUS","Toronto Huskies","HUS @ CLR","L","0","21.0","","","","","","18.0","","","","","","","","","","","60","-11","0","1946-11-03T00:00:00","","3","","19461103/HUSCLR","1610610026","1610610035","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","SUNDAY, NOVEMBER 3, 1946","","","Cleveland","Rebels","-","","","","","","","","","","","","","","","71.0","Toronto","Huskies","-","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0","0.0","Cleveland","0.0","0.0","0.0","0.0","1.0"
"0024600007","21946","1610610031","PIT","Pittsburgh Ironmen","1946-11-04","PIT vs. WAS","L","0","19.0","","","","","","18.0","","","","","","","","","","","56","-15","0","1610610036","WAS","Washington Capitols","WAS @ PIT","W","0","22.0","","","","","","27.0","","","","","","","","","","","71","15","0","1946-11-04T00:00:00","","3","","19461104/WASPIT","1610610031","1610610036","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","MONDAY, NOVEMBER 4, 1946","","","Pittsburgh","Ironmen","-","","","","","","","","","","","","","","","56.0","Washington","Capitols","-","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","5.0","Washington","0.0","0.0","0.0","0.0","1.0"
"0024600008","21946","1610612738","BOS","Boston Celtics","1946-11-05","BOS vs. CHS","L","0","23.0","","","","","","9.0","","","","","","","","","","","55","-2","0","1610610025","CHS","Chicago Stags","CHS @ BOS","W","0","24.0","","","","","","9.0","","","","","","","","","","","57","2","0","1946-11-05T00:00:00","","3","","19461105/CHSBOS","1610612738","1610610025","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","TUESDAY, NOVEMBER 5, 1946","","","Boston","Celtics","-","13","20","13","9","","","","","","","","","","","55.0","Chicago","Stags","-","15","12","19","11","","","","","","","","","","","","","","","","","","","","","","","0.0","6.0","Chicago","0.0","0.0","0.0","0.0","1.0"
"0024600009","21946","1610610028","DEF","Detroit Falcons","1946-11-05","DEF vs. BOM","L","0","18.0","","","","","","13.0","","","","","","","","","","","49","-4","0","1610610034","BOM","St. Louis Bombers","BOM @ DEF","W","0","20.0","","","","","","13.0","","","","","","","","","","","53","4","0","1946-11-05T00:00:00","","3","","19461105/BOMDEF","1610610028","1610610034","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","TUESDAY, NOVEMBER 5, 1946","","","Detroit","Falcons","-","","","","","","","","","","","","","","","49.0","St. Louis","Bombers","-","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","6.0","St. Louis","0.0","0.0","0.0","0.0","1.0"
"0024600010","21946","1610612744","PHW","Philadelphia Warriors","1946-11-07","PHW vs. PIT","W","0","28.0","","","","","","25.0","39.0","0.641","","","","","","","","24.0","81","6","0","1610610031","PIT","Pittsburgh Ironmen","PIT @ PHW","L","0","29.0","","","","","","17.0","28.0","0.607","","","","","","","","35.0","75","-6","0","1946-11-07T00:00:00","","3","","19461107/PITPHW","1610612744","1610610031","1946","4.0","","","Q4  - ","1.0","","","","","","","","","","","","","","","","","","","","","","","","THURSDAY, NOVEMBER 7, 1946","","","Philadelphia","Warriors","-","","","","","","","","","","","","","","","81.0","Pittsburgh","Ironmen","-","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0","1.0","Philadelphia","0.0","0.0","0.0","0.0","1.0"
