"OFFICIAL_ID","FIRST_NAME","LAST_NAME","JERSEY_NUM","GAME_ID"
"1165","Luis","Grillo","8","0029600059"
"1140","Bruce","Alexander","9","0029600059"
"1153","Joe","Crawford","17","0029600059"
"1146","Tony","Brothers","56","0029600121"
"1157","Terry","Durham","31","0029600121"
"1177","Ed","Middleton","18","0029600121"
"1147","Mike","Callahan","24","0029600114"
"1142","Dick","Bavetta","27","0029600114"
"1202","Tommie","Wood","39","0029600114"
"1152","Dan","Crawford","43","0029600130"
"1144","Ted","Bernhardt","16","0029600130"
"1151","Sean","Corbin","64","0029600130"
"1194","Bill","Spooner","38","0029600146"
"1145","Joe","Borgia","33","0029600146"
"1182","Ronnie","Nunn","34","0029600146"
"1151","Sean","Corbin","64","0029600161"
"1168","David","Jones","36","0029600161"
"1165","Luis","Grillo","8","0029600188"
"1153","Joe","Crawford","17","0029600188"
"1186","Blane","Reichelt","37","0029600188"
"1167","Steve","Javie","29","0029600213"
"1148","James","Capers","19","0029600213"
"1157","Terry","Durham","31","0029600213"
"1158","Hugh","Evans","25","0029600221"
"1201","Leon","Wood","40","0029600221"
"1199","Tom","Washington","49","0029600221"
"1146","Tony","Brothers","56","0029600247"
"1192","Bennett","Salvatore","15","0029600247"
"1157","Terry","Durham","31","0029600247"
"1163","Bernie","Fryer","7","0029600248"
"1176","Monty","McCutchen","58","0029600248"
"1158","Hugh","Evans","25","0029600248"
"1158","Hugh","Evans","25","0029600365"
"1199","Tom","Washington","49","0029600365"
"1363","Bennie","Adams","47","0029600365"
"1163","Bernie","Fryer","07","0029600689"
"1199","Tom","Washington","49","0029600689"
"1164","Ron","Garretson","10","0029600767"
"1151","Sean","Corbin","64","0029600767"
"1144","Ted","Bernhardt","16","0029600767"
"1145","Joe","Borgia","33","0029600762"
"1167","Steve","Javie","29","0029600762"
"1190","Eddie","Rush","32","0029600762"
"1142","Dick","Bavetta","27","0029700013"
"1150","Jimmy","Clark","6","0029700013"
"1194","Bill","Spooner","22","0029700013"
"1157","Terry","Durham","31","0029700004"
"1176","Monty","McCutchen","58","0029700004"
"1192","Bennett","Salvatore","15","0029700004"
"1142","Dick","Bavetta","27","0029700025"
"1150","Jimmy","Clark","6","0029700025"
"1159","Kevin","Fehr","62","0029700025"
"1363","Bennie","Adams","47","0029700041"
"1158","Hugh","Evans","25","0029700041"
"1199","Tom","Washington","49","0029700041"
"1140","Bruce","Alexander","9","0029700056"
"1195","Derrick","Stafford","14","0029700056"
"1160","Nolan","Fine","50","0029700056"
"1167","Steve","Javie","29","0029700085"
"1194","Bill","Spooner","22","0029700085"
"1159","Kevin","Fehr","62","0029700085"
"1142","Dick","Bavetta","27","0029700113"
"1168","David","Jones","36","0029700113"
"1151","Sean","Corbin","64","0029700113"
"1188","Leroy","Richardson","51","0029700144"
"1184","Ron","Olesiak","44","0029700144"
"1167","Steve","Javie","29","0029700144"
"1204","Derek","Richardson","63","0029700169"
"1140","Bruce","Alexander","9","0029700169"
"1166","Hue","Hollins","42","0029700169"
"1167","Steve","Javie","29","0029700178"
"1168","David","Jones","36","0029700178"
"1194","Bill","Spooner","22","0029700178"
"1204","Derek","Richardson","63","0029700254"
"1195","Derrick","Stafford","14","0029700254"
"1163","Bernie","Fryer","7","0029700254"
"1180","Jack","Nies","35","0029700258"
"1174","Ken","Mauer","41","0029700258"
"1193","Michael","Smith","59","0029700258"
"1168","David","Jones","36","0029700281"
"1151","Sean","Corbin","64","0029700281"
"1167","Steve","Javie","29","0029700281"
"1177","Ed","Middleton","18","0029700374"
"1192","Bennett","Salvatore","15","0029700374"
"1201","Leon","Wood","40","0029700374"
"1203","Mark","Wunderlich","61","0029700385"
"1181","Tommy","Nunez","28","0029700385"
"1148","James","Capers","19","0029700385"
"1185","Violet","Palmer","66","0029700409"
"1186","Blane","Reichelt","37","0029700409"
"1181","Tommy","Nunez","28","0029700409"
"1168","David","Jones","36","0029700438"
"1150","Jimmy","Clark","6","0029700438"
"1143","Gary","Benson","30","0029700438"
"1204","Derek","Richardson","63","0029700712"
"1140","Bruce","Alexander","9","0029700712"
"1161","Joe","Forte","45","0029700712"
"1183","Bill","Oakes","21","0029700778"
"1186","Blane","Reichelt","37","0029700778"
"1185","Violet","Palmer","66","0029700778"
