"id","full_name","first_name","last_name","is_active"
"76001","Alaa Abdelnaby","Alaa","Abdelnaby","0"
"76002","Zaid Abdul-Aziz","Zaid","Abdul-Aziz","0"
"76003","Kareem Abdul-Jabbar","Kareem","Abdul-Jabbar","0"
"51","Mahmoud Abdul-Rauf","Mahmoud","Abdul-Rauf","0"
"1505","Tariq Abdul-Wahad","Tariq","Abdul-Wahad","0"
"949","Shareef Abdur-Rahim","Shareef","Abdur-Rahim","0"
"76005","Tom Abernethy","Tom","Abernethy","0"
"76006","Forest Able","Forest","Able","0"
"76007","John Abramovic","John","Abramovic","0"
"203518","Alex Abrines","Alex","Abrines","0"
"101165","Alex Acker","Alex","Acker","0"
"76008","Donald Ackerman","Donald","Ackerman","0"
"76009","Mark Acres","Mark","Acres","0"
"76010","Charles Acton","Charles","Acton","0"
"203112","Quincy Acy","Quincy","Acy","0"
"76011","Alvan Adams","Alvan","Adams","0"
"76012","Don Adams","Don","Adams","0"
"200801","Hassan Adams","Hassan","Adams","0"
"1629121","Jaylen Adams","Jaylen","Adams","0"
"203919","Jordan Adams","Jordan","Adams","0"
"149","Michael Adams","Michael","Adams","0"
"203500","Steven Adams","Steven","Adams","1"
"912","Rafael Addison","Rafael","Addison","0"
"1628389","Bam Adebayo","Bam","Adebayo","1"
"1629061","Deng Adel","Deng","Adel","0"
"76015","Rick Adelman","Rick","Adelman","0"
"202399","Jeff Adrien","Jeff","Adrien","0"
"201167","Arron Afflalo","Arron","Afflalo","0"
"200772","Maurice Ager","Maurice","Ager","0"
"76016","Mark Aguirre","Mark","Aguirre","0"
"201336","Blake Ahearn","Blake","Ahearn","0"
"76017","Danny Ainge","Danny","Ainge","0"
"201582","Alexis Ajinca","Alexis","Ajinca","0"
"76018","Henry Akin","Henry","Akin","0"
"203006","Josh Akognon","Josh","Akognon","0"
"1629152","DeVaughn Akoon-Purcell","DeVaughn","Akoon-Purcell","0"
"202374","Solomon Alabi","Solomon","Alabi","0"
"76019","Mark Alarie","Mark","Alarie","0"
"76020","Gary Alcorn","Gary","Alcorn","0"
"203128","Furkan Aldemir","Furkan","Aldemir","0"
"202332","Cole Aldrich","Cole","Aldrich","0"
"200746","LaMarcus Aldridge","LaMarcus","Aldridge","1"
"76021","Chuck Aleksinas","Chuck","Aleksinas","0"
"1626146","Cliff Alexander","Cliff","Alexander","0"
"724","Cory Alexander","Cory","Alexander","0"
"2042","Courtney Alexander","Courtney","Alexander","0"
"76022","Gary Alexander","Gary","Alexander","0"
"201570","Joe Alexander","Joe","Alexander","0"
"1629734","Kyle Alexander","Kyle","Alexander","1"
"2349","Victor Alexander","Victor","Alexander","0"
"1629638","Nickeil Alexander-Walker","Nickeil","Alexander-Walker","1"
"76024","Steve Alford","Steve","Alford","0"
"1628959","Rawle Alkins","Rawle","Alkins","0"
"76028","Bob Allen","Bob","Allen","0"
"1628960","Grayson Allen","Grayson","Allen","1"
"1628386","Jarrett Allen","Jarrett","Allen","1"
"706","Jerome Allen","Jerome","Allen","0"
"1628443","Kadeem Allen","Kadeem","Allen","1"
"202730","Lavoy Allen","Lavoy","Allen","0"
"76027","Lucius Allen","Lucius","Allen","0"
"2124","Malik Allen","Malik","Allen","0"
"76025","Randy Allen","Randy","Allen","0"
"951","Ray Allen","Ray","Allen","0"
"2754","Tony Allen","Tony","Allen","0"
"76029","Odis Allison","Odis","Allison","0"
"200984","Lance Allred","Lance","Allred","0"
"76030","Darrell Allums","Darrell","Allums","0"
"201165","Morris Almond","Morris","Almond","0"
"308","Derrick Alston","Derrick","Alston","0"
"1747","Rafer Alston","Rafer","Alston","0"
"1824","Peter Aluma","Peter","Aluma","0"
"680","John Amaechi","John","Amaechi","0"
"732","Ashraf Amaya","Ashraf","Amaya","0"
"202329","Al-Farouq Aminu","Al-Farouq","Aminu","1"
"200811","Lou Amundson","Lou","Amundson","0"
"76034","Bob Anderegg","Bob","Anderegg","0"
"2365","Chris Andersen","Chris","Andersen","0"
"2431","David Andersen","David","Andersen","0"
"101187","Alan Anderson","Alan","Anderson","0"
"202079","Antonio Anderson","Antonio","Anderson","0"
"76035","Cliff Anderson","Cliff","Anderson","0"
"76036","Daniel Anderson","Daniel","Anderson","0"
"1507","Derek Anderson","Derek","Anderson","0"
"76037","Dwight Anderson","Dwight","Anderson","0"
"944","Eric Anderson","Eric","Anderson","0"
"246","Greg Anderson","Greg","Anderson","0"
"202341","James Anderson","James","Anderson","0"
"76040","Jerome Anderson","Jerome","Anderson","0"
"1626147","Justin Anderson","Justin","Anderson","1"
"72","Kenny Anderson","Kenny","Anderson","0"
"76041","Kim Anderson","Kim","Anderson","0"
"203937","Kyle Anderson","Kyle","Anderson","1"
"76042","Michael Anderson","Michael","Anderson","0"
"76043","Mitchell Anderson","Mitchell","Anderson","0"
"98","Nick Anderson","Nick","Anderson","0"
"76045","Richard Anderson","Richard","Anderson","0"
"76046","Ron Anderson","Ron","Anderson","0"
"201583","Ryan Anderson","Ryan","Anderson","1"
"1000","Shandon Anderson","Shandon","Anderson","0"
"335","Willie Anderson","Willie","Anderson","0"
