"namePlayerBREF","urlPlayerBioBREF","nameTable","urlPlayerImageBREF","slugPlayerBREF","numberTransactionPlayer","dateTransaction","descriptionTransaction","isGLeagueMovement","isDraft","isSigned","isWaived","isTraded","slugSeason","nameTeam","slugLeague","amountSalary","detailsContract","namePronunciation","namePosition","heightInches","weightLBS","dateBirth","locationBirthplace","cityBirthplace","stateBirthplace","nameCollege","nameHighSchool","dateNBADebut","career length","yearsExperience","nameTwitter","yearHighSchool","rankHighSchool","dateDeath","high schools","descriptionRelatives","descriptionHOF","playerNicknames","colleges"
"A.C. Green","https://www.basketball-reference.com/players/g/greenac01.html","Transactions","https://www.basketball-reference.com/req/202103225/images/players/greenac01.jpg","greenac01","1","5647.0","Drafted by the Los Angeles Lakers in the 1st round (23rd pick) of the 1985 NBA Draft.","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A.C. Green","https://www.basketball-reference.com/players/g/greenac01.html","Transactions","https://www.basketball-reference.com/req/202103225/images/players/greenac01.jpg","greenac01","2","8602.0","Released by the Los Angeles Lakers.","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A.C. Green","https://www.basketball-reference.com/players/g/greenac01.html","Transactions","https://www.basketball-reference.com/req/202103225/images/players/greenac01.jpg","greenac01","3","8671.0","Signed as an unrestricted free agent with the Phoenix Suns.","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A.C. Green","https://www.basketball-reference.com/players/g/greenac01.html","Transactions","https://www.basketball-reference.com/req/202103225/images/players/greenac01.jpg","greenac01","4","9856.0","Traded by the Phoenix Suns with Sam Cassell, Michael Finley and a 1998 2nd round draft pick (Greg Buckner was later selected) to the Dallas Mavericks for Tony Dumas, Jason Kidd and Loren Meyer.","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A.C. Green","https://www.basketball-reference.com/players/g/greenac01.html","Transactions","https://www.basketball-reference.com/req/202103225/images/players/greenac01.jpg","greenac01","5","10835.0","Traded by the Dallas Mavericks to the Los Angeles Lakers for Sean Rooks and a 2000 2nd round draft pick (Pete Mickeal was later selected).","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A.C. Green","https://www.basketball-reference.com/players/g/greenac01.html","Transactions","https://www.basketball-reference.com/req/202103225/images/players/greenac01.jpg","greenac01","6","11261.0","Signed as a free agent with the Miami Heat.","0","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A.C. Green","https://www.basketball-reference.com/players/g/greenac01.html","Salaries","https://www.basketball-reference.com/req/202103225/images/players/greenac01.jpg","greenac01","","","","","","","","","1985-86","Los Angeles Lakers","NBA","128750.0","","","","","","","","","","","","","","","","","","","","","","",""
"A.C. Green","https://www.basketball-reference.com/players/g/greenac01.html","Salaries","https://www.basketball-reference.com/req/202103225/images/players/greenac01.jpg","greenac01","","","","","","","","","1987-88","Los Angeles Lakers","NBA","218750.0","","","","","","","","","","","","","","","","","","","","","","",""
"A.C. Green","https://www.basketball-reference.com/players/g/greenac01.html","Salaries","https://www.basketball-reference.com/req/202103225/images/players/greenac01.jpg","greenac01","","","","","","","","","1988-89","Los Angeles Lakers","NBA","269000.0","","","","","","","","","","","","","","","","","","","","","","",""
"A.C. Green","https://www.basketball-reference.com/players/g/greenac01.html","Salaries","https://www.basketball-reference.com/req/202103225/images/players/greenac01.jpg","greenac01","","","","","","","","","1989-90","Los Angeles Lakers","NBA","1500000.0","","","","","","","","","","","","","","","","","","","","","","",""
